image_index,edsr_mse,edsr_psnr,edsr_ssim,bicubic_mse,bicubic_psnr,bicubic_ssim,psnr_improvement,ssim_improvement,mse_reduction
0,0.00020949346071574837,36.78829528876159,0.9108008541294836,0.0002391476446064189,36.21333892188933,0.8948458268799779,0.5749563668722573,0.015955027249505704,2.9654183890670538e-05
1,0.000590138603001833,32.29045975731551,0.8668417875421977,0.0006609514821320772,31.798304192067427,0.8438392675872843,0.49215556524808335,0.023002519954913314,7.081287913024426e-05
2,0.0004520166548900306,33.44845562990431,0.8328851261514685,0.0005087574245408177,32.93489239853053,0.8035700005324178,0.5135632313737801,0.029315125619050697,5.6740769650787115e-05
3,0.0003670600417535752,34.352628903270016,0.8905772249174555,0.0004149175947532058,33.820381483423716,0.8702131877808793,0.5322474198462999,0.020364037136576196,4.785755299963057e-05
4,0.00032999718678183854,34.81489762456451,0.8913030210604356,0.00035241388832218945,34.529469847581794,0.8780073170625629,0.28542777698271493,0.013295703997872721,2.2416701540350914e-05
5,0.0005286835948936641,32.76804165588259,0.8513587948796805,0.000601982232183218,32.20416326979153,0.8249552729185258,0.5638783860910621,0.026403521961154697,7.329863728955388e-05
6,0.0005775097524747252,32.384406773921896,0.857067368499034,0.0007039346382953227,31.524676640759086,0.8190479383518019,0.8597301331628096,0.03801943014723208,0.0001264248858205974
7,0.00021901112631894648,36.595338213417136,0.8889296327333911,0.00024093023966997862,36.18108687350759,0.8733653850716786,0.41425133990954777,0.015564247661712494,2.1919113351032138e-05
8,0.0005669386009685695,32.46463972331796,0.8689071727195831,0.0006688607390969992,31.746642955916084,0.8384602874606308,0.7179967674018748,0.030446885258952228,0.00010192213812842965
9,0.0004054241580888629,33.92090376481456,0.8732565869839406,0.00046637988998554647,33.31260184356677,0.8493970719348058,0.6083019212477936,0.02385951504913475,6.0955731896683574e-05
10,0.0007147694122977555,31.458340408817442,0.8826099615689913,0.000854729616548866,30.681712473911563,0.8528798198611907,0.7766279349058784,0.02973014170780064,0.00013996020425111055
11,0.000694853428285569,31.581067954098874,0.8705928430912002,0.0007995169726200402,30.971723123592888,0.8424353124764515,0.6093448305059859,0.028157530614748683,0.00010466354433447123
12,0.00029106589499861,35.36008679073845,0.8574687929266352,0.00031859660521149635,34.96758856111062,0.8386177582394966,0.392498229627833,0.018851034687138668,2.7530710212886333e-05
13,0.0003038763243239373,35.17303135444947,0.898392578548595,0.0003374038788024336,34.71849929059252,0.8831803798927077,0.4545320638569521,0.015212198655887299,3.352755447849631e-05
14,0.0007339724106714129,31.343202644958588,0.8993327981502433,0.0009402973810210824,30.26734773515715,0.8715556550678579,1.0758549098014392,0.027777143082385325,0.00020632497034966946
15,0.0003694052866194397,34.32496893591983,0.8913494201750715,0.0004186473961453885,33.781516056218315,0.8716073572107293,0.5434528797015119,0.01974206296434211,4.924210952594876e-05
16,0.0005137242842465639,32.892699042678686,0.8461056767503093,0.0005994560196995735,32.22242674287302,0.8122696074751251,0.6702722998056672,0.03383606927518423,8.57317354530096e-05
17,0.0002651553659234196,35.76499579681186,0.8758819894735006,0.00029075241764076054,35.36476665374488,0.8579704915942988,0.40022914306698,0.017911497879201765,2.5597051717340946e-05
18,0.00019602965039666742,37.07678234614154,0.9245544016462354,0.00024319627846125513,36.14043075189218,0.9073329848834023,0.9363515942493592,0.017221416762833064,4.716662806458771e-05
19,0.00038081256207078695,34.19288733743343,0.8720132484804319,0.0004167582665104419,33.801157770686096,0.8541308819543371,0.39172956674733683,0.017882366526094873,3.5945704439654946e-05
20,0.000530099670868367,32.75642465420992,0.9163073635564783,0.0006537000881507993,31.84621456469904,0.8976638201775642,0.9102100895108833,0.018643543378914162,0.00012360041728243232
21,0.0005031877662986517,32.982699261748195,0.9025406235742897,0.0006001944420859218,32.217080305416076,0.8788755263888843,0.7656189563321192,0.023665097185405326,9.700667578727007e-05
